"bfi_1"	"bfi_2"	"bfi_3"	"bfi_4"	"bfi_5"	"bfi_6"	"bfi_7"	"bfi_8"	"bfi_9"	"bfi_10"	"bfi_11"	"bfi_12"	"bfi_13"	"bfi_14"	"bfi_15"	"bfi_16"	"bfi_17"	"bfi_18"	"bfi_19"	"bfi_20"	"bfi_21"	"bfi_22"	"bfi_23"	"bfi_24"	"bfi_25"	"bfi_26"	"bfi_27"	"bfi_28"	"bfi_29"	"bfi_30"	"bfi_31"	"bfi_32"	"bfi_33"	"bfi_34"	"bfi_35"	"bfi_36"	"bfi_37"	"bfi_38"	"bfi_39"	"bfi_40"	"bfi_41"	"bfi_42"	"bfi_43"	"bfi_44"	"AgainstAbortion"	"AgainstGayMarriage"	"AgainstUniversalHealthcare"	"AgainstTaxingTheRich"	"ConservativeIdeology"	"PoliticalInterest"	"Vote"	"YearOfBirth"	"Gender"	"Race"	"EducationLevel"	"IncomeLevel"	"State"
4	2	4	2	5	2	5	2	3	4	2	1	5	4	4	4	4	1	3	4	4	5	1	4	4	5	4	4	4	4	4	5	5	5	2	5	1	4	2	4	2	5	1	4	3	2	2	4	3	1	1	1955	2	1	1	5	33
4	3	5	4	4	3	5	4	3	4	4	2	5	4	4	4	4	3	4	4	3	4	2	4	4	4	4	4	4	4	4	4	4	5	2	3	3	4	4	4	4	3	3	3	1	1	1	2	2	2	1	1950	2	1	6	13	36
4	2	4	2	4	4	2	4	4	5	4	1	5	4	4	2	5	2	5	4	4	4	2	4	4	2	1	2	4	4	4	5	4	4	4	5	2	4	4	4	1	5	4	4	1	3	2	2	3	1	1	1987	2	1	3	9	37
5	2	4	1	4	1	5	3	3	4	5	4	5	3	3	5	5	1	2	3	2	4	1	5	5	5	2	5	1	4	2	5	5	4	4	5	2	5	1	5	1	5	4	4	2	3	3	4	4	1	2	1960	2	1	2	8	37
2	3	4	4	4	4	4	4	4	4	3	2	5	2	4	4	4	4	2	3	4	4	2	5	4	2	2	2	2	3	4	5	4	4	2	3	2	2	2	4	4	4	3	4	3	3	3	4	4	1	2	1954	1	1	4	8	1
5	5	4	4	4	2	4	5	2	4	2	2	2	4	4	4	2	5	5	5	2	2	5	2	4	4	4	2	5	4	3	4	2	2	3	4	4	3	4	4	1	2	4	5	2	1	1	1	3	1	1	1970	2	2	6	14	32
3	1	5	1	5	4	5	1	5	5	5	1	5	4	5	5	5	1	4	4	4	5	5	4	5	5	1	5	1	5	4	5	5	5	1	5	1	5	4	5	5	5	1	4	1	2	1	1	1	1	1	1918	2	1	3	4	30
1	1	5	4	3	4	5	1	4	4	4	1	4	4	4	4	5	4	4	4	4	5	3	5	4	3	3	4	4	3	4	5	2	4	1	2	5	4	4	4	4	4	4	3	3	3	3	3	3	1	2	1958	1	1	5	7	3
5	1	4	1	4	2	4	1	5	5	4	1	5	1	5	5	5	4	2	5	1	5	4	5	4	4	4	4	5	5	4	5	3	4	4	4	1	2	2	5	4	4	5	2	1	1	1	4	2	2	1	1962	1	1	3	14	45
4	3	3	3	1	1	2	2	1	4	1	2	4	4	4	3	3	3	4	4	3	5	4	1	3	4	4	2	2	1	3	4	4	5	1	2	5	5	3	3	4	4	4	1	4	4	3	2	5	1	2	1935	1	1	5	12	46
5	1	5	2	5	2	5	4	4	5	4	1	5	1	4	4	5	5	3	5	2	5	1	5	5	4	1	5	2	5	2	5	4	5	1	5	2	4	1	5	2	5	5	4	2	1	1	1	2	1	1	1951	1	1	6	10	5
2	2	4	2	3	5	5	2	4	4	3	1	5	2	4	3	5	2	2	3	4	5	2	5	3	2	2	4	2	3	4	5	4	4	4	2	1	4	2	4	4	4	3	3	3	3	3	3	4	1	2	1958	2	1	2	8	9
4	4	5	4	5	4	4	4	4	5	4	2	5	5	5	5	5	4	4	5	4	4	2	4	5	5	4	4	5	5	2	4	5	5	4	4	4	4	2	5	5	5	4	5	2	1	1	1	2	1	1	1971	2	3	6	13	5
4	2	5	1	2	4	5	1	4	5	3	1	5	3	4	4	4	2	2	1	2	5	3	4	4	4	2	5	4	5	4	4	4	4	4	4	3	4	4	4	5	4	2	4	3	4	3	4	4	1	2	1943	2	1	3	2	7
5	1	4	3	3	2	4	3	2	5	4	1	5	3	4	4	5	4	4	5	2	5	4	4	3	2	1	4	1	5	2	4	4	3	4	5	1	3	3	3	1	4	2	5	2	1	1	2	2	1	1	1943	2	1	3	6	5
4	4	4	4	4	2	5	3	2	4	1	1	5	4	2	2	4	2	4	4	3	4	2	2	4	4	2	4	4	3	4	5	4	2	4	4	1	4	3	4	2	4	4	1	2	4	3	1	4	2	1	1947	2	1	2	8	46
2	3	4	1	3	4	4	4	4	5	3	2	5	4	4	4	3	3	3	4	4	4	3	4	4	3	3	4	4	3	4	4	3	3	3	2	4	4	3	4	3	4	3	3	2	3	1	1	3	2	2	1943	1	1	6	11	9
2	2	4	1	4	2	4	2	4	4	4	1	5	4	4	4	4	2	3	3	4	4	2	4	3	2	2	4	2	4	2	4	4	4	2	3	2	4	2	3	3	4	2	1	1	2	2	1	2	2	1	1968	1	1	2	13	20
1	1	4	1	5	5	4	1	5	4	1	1	5	4	4	3	3	5	1	5	5	5	5	5	3	2	3	4	1	5	5	4	1	5	2	5	1	4	1	3	3	3	3	4	1	1	2	2	2	2	1	1946	1	3	4	11	5
